lat,lon,city_name,year,cluster
34.625,-5.1242,Tafrant,1996,High
34.625,-5.1242,Tafrant,2009,High
34.625,-5.1242,Tafrant,2010,High
34.625,-5.1242,Tafrant,2011,High
34.625,-5.1242,Tafrant,2013,High
34.625,-5.1242,Tafrant,2018,High
34.625,-5.1242,Tafrant,1982,Medium
34.625,-5.1242,Tafrant,1984,Medium
34.625,-5.1242,Tafrant,1986,Medium
34.625,-5.1242,Tafrant,1990,Medium
34.625,-5.1242,Tafrant,1991,Medium
34.625,-5.1242,Tafrant,1997,Medium
34.625,-5.1242,Tafrant,1998,Medium
34.625,-5.1242,Tafrant,2001,Medium
34.625,-5.1242,Tafrant,2003,Medium
34.625,-5.1242,Tafrant,2004,Medium
34.625,-5.1242,Tafrant,2006,Medium
34.625,-5.1242,Tafrant,2015,Medium
34.625,-5.1242,Tafrant,2017,Medium
34.625,-5.1242,Tafrant,2019,Medium
34.625,-5.1242,Tafrant,1983,Low
34.625,-5.1242,Tafrant,1985,Low
34.625,-5.1242,Tafrant,1987,Low
34.625,-5.1242,Tafrant,1988,Low
34.625,-5.1242,Tafrant,1989,Low
34.625,-5.1242,Tafrant,1992,Low
34.625,-5.1242,Tafrant,1993,Low
34.625,-5.1242,Tafrant,1994,Low
34.625,-5.1242,Tafrant,1995,Low
34.625,-5.1242,Tafrant,1999,Low
34.625,-5.1242,Tafrant,2000,Low
34.625,-5.1242,Tafrant,2002,Low
34.625,-5.1242,Tafrant,2005,Low
34.625,-5.1242,Tafrant,2007,Low
34.625,-5.1242,Tafrant,2008,Low
34.625,-5.1242,Tafrant,2012,Low
34.625,-5.1242,Tafrant,2014,Low
34.625,-5.1242,Tafrant,2016,Low
34.625,-5.1242,Tafrant,2020,Low
