lat,lon,city_name,year,cluster
35.6633,-5.4886,Saddina,2010,High
35.6633,-5.4886,Saddina,1990,Medium
35.6633,-5.4886,Saddina,1996,Medium
35.6633,-5.4886,Saddina,1997,Medium
35.6633,-5.4886,Saddina,1998,Medium
35.6633,-5.4886,Saddina,2001,Medium
35.6633,-5.4886,Saddina,2003,Medium
35.6633,-5.4886,Saddina,2004,Medium
35.6633,-5.4886,Saddina,2009,Medium
35.6633,-5.4886,Saddina,2011,Medium
35.6633,-5.4886,Saddina,2013,Medium
35.6633,-5.4886,Saddina,2017,Medium
35.6633,-5.4886,Saddina,1982,Low
35.6633,-5.4886,Saddina,1983,Low
35.6633,-5.4886,Saddina,1984,Low
35.6633,-5.4886,Saddina,1985,Low
35.6633,-5.4886,Saddina,1986,Low
35.6633,-5.4886,Saddina,1987,Low
35.6633,-5.4886,Saddina,1988,Low
35.6633,-5.4886,Saddina,1989,Low
35.6633,-5.4886,Saddina,1991,Low
35.6633,-5.4886,Saddina,1992,Low
35.6633,-5.4886,Saddina,1993,Low
35.6633,-5.4886,Saddina,1994,Low
35.6633,-5.4886,Saddina,1995,Low
35.6633,-5.4886,Saddina,1999,Low
35.6633,-5.4886,Saddina,2000,Low
35.6633,-5.4886,Saddina,2002,Low
35.6633,-5.4886,Saddina,2005,Low
35.6633,-5.4886,Saddina,2006,Low
35.6633,-5.4886,Saddina,2007,Low
35.6633,-5.4886,Saddina,2008,Low
35.6633,-5.4886,Saddina,2012,Low
35.6633,-5.4886,Saddina,2014,Low
35.6633,-5.4886,Saddina,2015,Low
35.6633,-5.4886,Saddina,2016,Low
35.6633,-5.4886,Saddina,2018,Low
35.6633,-5.4886,Saddina,2019,Low
35.6633,-5.4886,Saddina,2020,Low
