lat,lon,city_name,year,cluster
32.23,-7.95,Ben Guerir,1982,High
32.23,-7.95,Ben Guerir,1987,High
32.23,-7.95,Ben Guerir,1988,High
32.23,-7.95,Ben Guerir,1989,High
32.23,-7.95,Ben Guerir,1991,High
32.23,-7.95,Ben Guerir,1994,High
32.23,-7.95,Ben Guerir,1996,High
32.23,-7.95,Ben Guerir,1997,High
32.23,-7.95,Ben Guerir,2003,High
32.23,-7.95,Ben Guerir,2006,High
32.23,-7.95,Ben Guerir,2009,High
32.23,-7.95,Ben Guerir,2010,High
32.23,-7.95,Ben Guerir,2011,High
32.23,-7.95,Ben Guerir,2015,High
32.23,-7.95,Ben Guerir,2018,High
32.23,-7.95,Ben Guerir,1985,Medium
32.23,-7.95,Ben Guerir,1990,Medium
32.23,-7.95,Ben Guerir,2000,Medium
32.23,-7.95,Ben Guerir,2004,Medium
32.23,-7.95,Ben Guerir,2005,Medium
32.23,-7.95,Ben Guerir,2012,Medium
32.23,-7.95,Ben Guerir,2013,Medium
32.23,-7.95,Ben Guerir,2017,Medium
32.23,-7.95,Ben Guerir,2019,Medium
32.23,-7.95,Ben Guerir,1983,Low
32.23,-7.95,Ben Guerir,1984,Low
32.23,-7.95,Ben Guerir,1986,Low
32.23,-7.95,Ben Guerir,1992,Low
32.23,-7.95,Ben Guerir,1993,Low
32.23,-7.95,Ben Guerir,1995,Low
32.23,-7.95,Ben Guerir,1998,Low
32.23,-7.95,Ben Guerir,1999,Low
32.23,-7.95,Ben Guerir,2001,Low
32.23,-7.95,Ben Guerir,2002,Low
32.23,-7.95,Ben Guerir,2007,Low
32.23,-7.95,Ben Guerir,2008,Low
32.23,-7.95,Ben Guerir,2014,Low
32.23,-7.95,Ben Guerir,2016,Low
32.23,-7.95,Ben Guerir,2020,Low
