lat,lon,city_name,year,cluster
34.2833,-4.3167,Douar Oulad Mbarek,2009,High
34.2833,-4.3167,Douar Oulad Mbarek,2010,High
34.2833,-4.3167,Douar Oulad Mbarek,2011,High
34.2833,-4.3167,Douar Oulad Mbarek,2013,High
34.2833,-4.3167,Douar Oulad Mbarek,1982,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1986,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1990,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1991,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1996,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1997,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1998,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2001,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2003,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2004,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2006,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2012,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2015,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2018,Medium
34.2833,-4.3167,Douar Oulad Mbarek,2019,Medium
34.2833,-4.3167,Douar Oulad Mbarek,1983,Low
34.2833,-4.3167,Douar Oulad Mbarek,1984,Low
34.2833,-4.3167,Douar Oulad Mbarek,1985,Low
34.2833,-4.3167,Douar Oulad Mbarek,1987,Low
34.2833,-4.3167,Douar Oulad Mbarek,1988,Low
34.2833,-4.3167,Douar Oulad Mbarek,1989,Low
34.2833,-4.3167,Douar Oulad Mbarek,1992,Low
34.2833,-4.3167,Douar Oulad Mbarek,1993,Low
34.2833,-4.3167,Douar Oulad Mbarek,1994,Low
34.2833,-4.3167,Douar Oulad Mbarek,1995,Low
34.2833,-4.3167,Douar Oulad Mbarek,1999,Low
34.2833,-4.3167,Douar Oulad Mbarek,2000,Low
34.2833,-4.3167,Douar Oulad Mbarek,2002,Low
34.2833,-4.3167,Douar Oulad Mbarek,2005,Low
34.2833,-4.3167,Douar Oulad Mbarek,2007,Low
34.2833,-4.3167,Douar Oulad Mbarek,2008,Low
34.2833,-4.3167,Douar Oulad Mbarek,2014,Low
34.2833,-4.3167,Douar Oulad Mbarek,2016,Low
34.2833,-4.3167,Douar Oulad Mbarek,2017,Low
34.2833,-4.3167,Douar Oulad Mbarek,2020,Low
