lat,lon,city_name,year,cluster
34.9167,-2.3167,Berkane,2004,High
34.9167,-2.3167,Berkane,2009,High
34.9167,-2.3167,Berkane,2013,High
34.9167,-2.3167,Berkane,1986,Medium
34.9167,-2.3167,Berkane,1987,Medium
34.9167,-2.3167,Berkane,1990,Medium
34.9167,-2.3167,Berkane,1991,Medium
34.9167,-2.3167,Berkane,1994,Medium
34.9167,-2.3167,Berkane,1996,Medium
34.9167,-2.3167,Berkane,2001,Medium
34.9167,-2.3167,Berkane,2002,Medium
34.9167,-2.3167,Berkane,2003,Medium
34.9167,-2.3167,Berkane,2005,Medium
34.9167,-2.3167,Berkane,2006,Medium
34.9167,-2.3167,Berkane,2008,Medium
34.9167,-2.3167,Berkane,2010,Medium
34.9167,-2.3167,Berkane,2012,Medium
34.9167,-2.3167,Berkane,2014,Medium
34.9167,-2.3167,Berkane,2015,Medium
34.9167,-2.3167,Berkane,2017,Medium
34.9167,-2.3167,Berkane,2018,Medium
34.9167,-2.3167,Berkane,2020,Medium
34.9167,-2.3167,Berkane,1982,Low
34.9167,-2.3167,Berkane,1983,Low
34.9167,-2.3167,Berkane,1984,Low
34.9167,-2.3167,Berkane,1985,Low
34.9167,-2.3167,Berkane,1988,Low
34.9167,-2.3167,Berkane,1989,Low
34.9167,-2.3167,Berkane,1992,Low
34.9167,-2.3167,Berkane,1993,Low
34.9167,-2.3167,Berkane,1995,Low
34.9167,-2.3167,Berkane,1997,Low
34.9167,-2.3167,Berkane,1998,Low
34.9167,-2.3167,Berkane,1999,Low
34.9167,-2.3167,Berkane,2000,Low
34.9167,-2.3167,Berkane,2007,Low
34.9167,-2.3167,Berkane,2011,Low
34.9167,-2.3167,Berkane,2016,Low
34.9167,-2.3167,Berkane,2019,Low
